post_id,platform,post_type,Likes,Comments,Shares,Impressions,Reach,age
1,LinkedIn,Video,415,77,85,2619,1842,29
2,Instagram,Video,908,125,85,1223,3884,48
3,Instagram,Video,412,419,58,2165,849,55
4,Facebook,Video,510,438,110,3871,2667,59
5,Instagram,Link,874,239,91,5681,1553,41
6,LinkedIn,Link,627,135,90,9436,1498,63
7,Twitter,Video,573,135,8,6769,2508,46
8,Twitter,Image,288,230,56,2516,3927,23
9,Instagram,Image,870,92,15,1377,4829,48
10,Instagram,Link,322,195,146,7970,3477,47
11,Facebook,Link,632,267,58,4463,3020,33
12,Instagram,Link,210,49,86,9224,3443,65
13,Twitter,Link,843,302,140,5753,678,56
14,Facebook,Link,872,169,21,6165,1726,35
15,Twitter,Image,252,70,117,9801,2192,32
16,Twitter,Video,915,489,89,8910,3579,57
17,Instagram,Link,266,207,37,9118,707,23
18,Twitter,Link,838,308,102,3459,2125,44
19,LinkedIn,Link,573,192,19,1949,2797,40
20,Twitter,Image,816,206,52,6827,501,47
21,Twitter,Link,430,223,86,2813,3265,33
22,Instagram,Video,497,67,26,9628,4876,35
23,Instagram,Video,455,365,57,9250,2309,35
24,Facebook,Video,430,301,146,3606,1056,53
25,LinkedIn,Link,979,464,53,9541,3937,37
26,Instagram,Image,272,214,200,7410,3635,64
27,Twitter,Image,973,309,164,3404,3917,34
28,Facebook,Image,658,36,128,3258,3626,47
29,Instagram,Video,185,403,89,3945,1378,48
30,LinkedIn,Image,917,136,126,9599,798,40
31,Facebook,Image,455,325,4,5589,3335,64
32,Facebook,Link,177,301,88,9898,1080,25
33,LinkedIn,Link,897,337,125,7284,2401,20
34,Instagram,Image,378,23,162,3402,2405,52
35,Facebook,Image,574,41,31,8529,1150,39
36,Instagram,Image,605,386,107,8412,1169,59
37,Facebook,Video,376,25,172,9855,4202,34
38,Facebook,Link,877,128,78,1384,660,25
39,Instagram,Link,657,260,200,2257,705,51
40,Instagram,Image,952,151,33,9780,1125,59
41,Facebook,Link,732,243,192,4752,3141,62
42,LinkedIn,Link,120,178,147,7578,1897,25
43,Instagram,Video,876,205,104,6396,1268,41
44,Facebook,Link,100,235,161,7702,2674,23
45,LinkedIn,Video,731,350,194,4630,3487,33
46,LinkedIn,Link,810,374,17,3240,1161,30
47,Facebook,Video,303,200,128,4025,656,21
48,LinkedIn,Image,513,221,120,6560,4301,32
49,LinkedIn,Link,344,97,161,7569,1615,45
50,Facebook,Image,14,466,114,9067,3404,59
51,Facebook,Link,199,442,93,2777,1012,42
52,LinkedIn,Video,370,441,133,6532,784,62
53,LinkedIn,Link,145,52,156,3516,1081,37
54,Twitter,Image,446,88,73,7326,4778,37
55,Twitter,Image,769,373,30,5206,578,54
56,Facebook,Link,528,463,86,1418,1828,19
57,Instagram,Video,86,219,25,8584,2601,26
58,Twitter,Link,997,72,9,7344,1064,28
59,Twitter,Image,872,111,117,3625,1586,20
60,LinkedIn,Link,440,255,139,1395,3722,42
61,Twitter,Image,536,441,193,6546,876,24
62,Instagram,Image,877,403,25,5504,2734,39
63,Instagram,Image,371,367,126,9325,2919,25
64,Instagram,Image,34,458,5,1911,2047,23
65,Facebook,Link,582,63,69,8207,2469,52
66,LinkedIn,Image,74,425,59,3972,3850,44
67,Instagram,Video,102,339,191,9035,3820,51
68,Twitter,Image,350,232,176,4301,738,61
69,Facebook,Video,230,194,33,2190,2516,50
70,LinkedIn,Image,280,86,82,3214,1808,56
71,LinkedIn,Video,675,9,82,9641,526,42
72,Facebook,Link,574,218,186,1429,2551,51
73,Facebook,Image,166,472,32,6799,3069,55
74,Instagram,Image,737,4,3,2350,3137,65
75,Instagram,Video,445,167,75,5699,2651,46
76,Twitter,Video,336,398,20,8542,4789,55
77,Twitter,Image,720,361,31,8275,1632,47
78,Instagram,Video,882,182,121,1033,2594,60
79,Facebook,Video,970,0,185,9140,3685,62
80,Facebook,Image,755,102,59,8204,1971,48
81,Twitter,Video,905,442,191,2383,4279,65
82,Twitter,Image,810,473,69,1544,3738,41
83,LinkedIn,Video,609,477,110,2990,1684,28
84,Instagram,Video,139,168,81,9483,4074,30
85,Facebook,Image,103,299,125,4135,2389,36
86,Twitter,Image,205,126,173,7798,1664,26
87,Facebook,Video,308,356,14,8841,3120,34
88,Facebook,Video,695,326,69,1349,1024,44
89,Twitter,Image,122,165,153,4724,1782,46
90,LinkedIn,Image,576,232,197,3247,3742,46
91,Instagram,Link,427,414,121,7233,3464,41
92,Twitter,Video,400,351,195,9552,3451,26
93,Facebook,Link,786,285,106,4373,3012,64
94,Twitter,Image,454,424,155,1890,990,24
95,Twitter,Link,700,236,28,6206,2671,33
96,LinkedIn,Video,819,453,152,6076,1124,37
97,Instagram,Video,375,271,94,4539,4475,57
98,Instagram,Link,893,142,87,9602,1303,32
99,Facebook,Image,595,314,191,5253,2466,41
100,Instagram,Image,21,498,156,6956,3219,64
101,Twitter,Link,395,388,18,4827,1543,24
102,Twitter,Video,477,336,153,9608,3535,51
103,Twitter,Link,830,393,78,2080,4982,35
104,Facebook,Link,734,435,112,5603,2972,19
105,Instagram,Video,382,252,97,8075,1033,46
106,Facebook,Image,346,118,52,8356,2025,60
107,Instagram,Video,813,421,53,9371,3976,45
108,Facebook,Link,228,102,68,9616,3275,41
109,Twitter,Video,353,124,7,5831,2297,62
110,Twitter,Video,731,369,45,2632,2698,30
111,Facebook,Image,523,431,98,6152,3244,53
112,LinkedIn,Video,7,445,46,8934,1005,47
113,Instagram,Link,973,288,83,3916,767,41
114,LinkedIn,Image,832,453,54,1997,1202,61
115,Facebook,Link,331,321,1,5395,3771,53
116,LinkedIn,Image,261,230,11,3689,1872,59
117,Twitter,Link,78,78,108,1673,4815,30
118,LinkedIn,Video,928,409,79,4345,4767,41
119,LinkedIn,Image,648,303,88,3078,2439,40
120,LinkedIn,Video,407,195,122,5069,4850,53
121,Facebook,Video,227,244,174,1138,3482,21
122,Instagram,Image,877,410,112,8186,3226,53
123,Instagram,Link,86,323,87,8434,2729,42
124,LinkedIn,Image,962,243,60,9070,4413,42
125,Instagram,Link,631,152,142,1154,2863,29
126,Facebook,Link,225,432,87,8422,2301,41
127,Twitter,Link,25,388,181,4019,2202,32
128,Facebook,Video,466,79,125,6127,2268,40
129,Instagram,Image,206,407,67,2149,1836,49
130,Facebook,Video,627,358,43,9008,1568,24
131,Facebook,Video,726,221,34,1954,2360,34
132,Facebook,Image,832,169,154,8609,3262,34
133,Instagram,Video,100,134,155,6525,4277,36
134,Twitter,Link,950,391,102,5088,4454,49
135,Facebook,Video,143,57,151,7623,2287,22
136,Instagram,Image,763,312,144,6596,3613,44
137,Twitter,Video,461,459,78,6688,4301,58
138,Twitter,Image,409,110,44,5913,1517,32
139,Instagram,Video,421,201,29,4870,4342,19
140,Twitter,Link,852,353,164,6399,2746,43
141,Instagram,Image,846,75,56,6655,3096,39
142,Facebook,Image,469,491,163,2762,4727,46
143,Instagram,Image,93,328,39,6884,4782,46
144,LinkedIn,Image,713,483,59,7779,2324,38
145,Facebook,Video,663,134,126,9077,889,22
146,LinkedIn,Video,522,375,22,8432,922,49
147,LinkedIn,Link,379,166,4,4536,2479,52
148,Facebook,Video,792,244,141,2197,2560,64
149,LinkedIn,Link,951,433,193,6373,4139,56
150,LinkedIn,Image,178,188,138,1442,2925,18
151,Instagram,Link,171,259,104,5947,4501,42
152,Instagram,Link,976,239,177,3766,2443,62
153,Twitter,Video,30,345,19,8415,4611,55
154,LinkedIn,Image,67,380,102,6152,3236,46
155,Twitter,Link,550,48,134,5112,1236,29
156,Instagram,Image,543,473,129,2781,4194,25
157,Facebook,Video,188,325,8,2785,4409,40
158,Twitter,Link,351,240,42,4427,2813,30
159,Instagram,Link,999,204,71,4977,2446,28
160,Twitter,Link,100,64,34,8858,4482,47
161,Facebook,Image,318,128,162,1692,4003,61
162,LinkedIn,Image,48,70,108,5259,1734,65
163,Instagram,Video,696,71,164,5756,4514,54
164,Instagram,Video,490,277,118,3101,635,33
165,Facebook,Video,120,471,60,7637,2035,60
166,Facebook,Image,73,435,7,1974,3273,45
167,Facebook,Video,477,15,9,3831,1210,29
168,Twitter,Link,398,495,89,4194,4935,44
169,Twitter,Link,278,103,145,6212,2695,21
170,Twitter,Link,954,236,141,3868,4759,45
171,Twitter,Video,725,266,120,9985,1531,26
172,Twitter,Link,192,358,182,9950,2852,33
173,Twitter,Video,755,250,198,5363,3470,58
174,Instagram,Link,172,410,150,7027,2595,32
175,Instagram,Image,932,380,43,2166,4588,48
176,LinkedIn,Link,296,109,178,6231,4220,50
177,LinkedIn,Link,343,350,15,9135,3362,53
178,Instagram,Link,395,110,78,5639,771,38
179,Facebook,Link,514,359,186,9322,1013,56
180,Twitter,Link,40,187,146,4494,859,61
181,Twitter,Video,110,214,106,7094,2940,22
182,Twitter,Image,246,495,49,2843,1518,59
183,Facebook,Image,184,456,153,4481,1214,52
184,Twitter,Link,324,405,184,6517,3479,45
185,LinkedIn,Image,606,431,177,9176,3064,49
186,Facebook,Video,18,178,26,6239,3099,39
187,Twitter,Link,333,93,45,1609,1836,48
188,Instagram,Video,886,357,158,6228,3441,55
189,Instagram,Video,407,372,124,3844,3924,56
